tpsf_id,sen_id,sen_text,sen_tu_type,sen_ts,ts_startpos,ts_endpos,sen_len,operation,sentence_segment
0,276476818141642732498910354944063483012,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen.",TextUnitType.SEN,"Die Sprache ist ein Instrument, welches uns hilft, das Umfeld sowie Handlungen zu benennen.",0,91,91,production,full_sentence
0,276476826064458983925344114298458516612,Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten.,TextUnitType.SEN,Dank diesem Mittel ist es uns möglich mit unserem sozialen Umfeld in Kontakt zu treten.,0,87,87,production,full_sentence
0,276476827649022234210630866169337523332,Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft.,TextUnitType.SEN,Darum bildet die Sprache ein erstes Sprungbrett für die Integration und die Zugehörigkeit zu einer Gesellschaft.,0,112,112,production,full_sentence
0,276476829233585484495917618040216530052,Ich selbst bin bilingual aufgewachsen.,TextUnitType.SEN,Ich selbst bin bilingual aufgewachsen.,0,38,38,production,full_sentence
3,276476847456062862776715264555325107332,Bei der Aneignung einer neuen SS,TextUnitType.SEC,Bei der Aneignung einer neuen SS,0,32,32,production,sentence_beginning
4,276476847456062862776715264555325107332,Bei der Aneignung einer neuen S,TextUnitType.SEC,S,31,33,31,pre-contextual_deletion,sentence_middle
5,276476847456062862776715264555325107332,Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeldd ,TextUnitType.SEC,prache fliessen die Sprache und das Umfeldd ,31,76,75,production,sentence_middle
6,276476847456062862776715264555325107332,Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld,TextUnitType.SEC,d ,73,76,73,pre-contextual_deletion,sentence_middle
7,276476847456062862776715264555325107332,Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindilch ineinander.,TextUnitType.SEN, unvermeindilch ineinander.,73,101,100,production,sentence_end
8,276476847456062862776715264555325107332,Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindch ineinander.,TextUnitType.SEN,ilc,84,87,98,contextual_deletion,sentence_middle
9,276476847456062862776715264555325107332,Bei der Aneignung einer neuen Sprache fliessen die Sprache und das Umfeld unvermeindlich ineinander.,TextUnitType.SEN,lic,84,87,100,contextual_insertion,sentence_middle
10,276476883108735994195667181650102758532,Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der,TextUnitType.SEC,Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu der,0,69,69,production,sentence_beginning
11,276476883108735994195667181650102758532,Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zu,TextUnitType.SEC, der,65,70,65,pre-contextual_deletion,sentence_middle
12,276476883108735994195667181650102758532,"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, die ",TextUnitType.SEC,"r Sprache als Kinder, die ",65,92,91,production,sentence_middle
13,276476883108735994195667181650102758532,"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, ",TextUnitType.SEC,die ,87,92,87,pre-contextual_deletion,sentence_middle
14,276476883108735994195667181650102758532,"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprace",TextUnitType.SEC,welche ausschliesslich mit ihrer Muttersprace,87,133,132,production,sentence_middle
15,276476883108735994195667181650102758532,"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprac",TextUnitType.SEC,e,131,133,131,pre-contextual_deletion,sentence_middle
16,276476883108735994195667181650102758532,"Als Kind einer Auswandererfamilie habe ich einen anderen Bezug zur Sprache als Kinder, welche ausschliesslich mit ihrer Muttersprache konfrontiert wurden.",TextUnitType.SEN,he konfrontiert wurden.,131,155,154,production,sentence_end
16,276476918761409125614619098744880409732,Ich stee a,TextUnitType.SEC,Ich stee a,0,10,10,production,sentence_beginning
17,276476918761409125614619098744880409732,Ich st,TextUnitType.SEC,ee a,6,11,6,pre-contextual_deletion,sentence_middle
18,276476918761409125614619098744880409732,Ich stehe also in direkter Rea,TextUnitType.SEC,ehe also in direkter Rea,6,31,30,production,sentence_middle
19,276476918761409125614619098744880409732,Ich stehe also in direkter Re,TextUnitType.SEC,a,29,31,29,pre-contextual_deletion,sentence_middle
20,276476918761409125614619098744880409732,"Ich stehe also in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",TextUnitType.SEN,"lation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",29,107,106,production,sentence_end
21,276476918761409125614619098744880409732,"Ich stehe in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",TextUnitType.SEN, also ,9,15,101,contextual_deletion,sentence_middle
22,276476918761409125614619098744880409732,"Ich stehe somit in direkter Relation zu zwei Sprachen, zwei Ländern, zwei Kulturen und zwei Gesellschaften.",TextUnitType.SEN, somit ,9,16,107,contextual_insertion,sentence_middle
23,276476965506025009030578278935811107972,All dies prägt m,TextUnitType.SEC,All dies prägt m,0,16,16,production,sentence_beginning
24,276476965506025009030578278935811107972,All dies prägt,TextUnitType.SEC, m,14,17,14,pre-contextual_deletion,sentence_middle
25,276476965506025009030578278935811107972,All dies prägte mich gleichermassen.,TextUnitType.SEN,e mich gleichermassen.,14,37,36,production,sentence_end
26,276476965506025009030578278935811107972,All dies prägt mich gleichermassen.,TextUnitType.SEN,e ,14,16,35,contextual_deletion,sentence_middle
27,276476965506025009030578278935811107972,All dies prägtmich gleichermassen.,TextUnitType.SEN, m,14,16,34,contextual_deletion,sentence_middle
28,276476965506025009030578278935811107972,All dies prägt mich gleichermassen.,TextUnitType.SEN, m,14,16,35,contextual_insertion,sentence_middle
29,276477009873796017018607331320423296132,Um beim Aufbauei,TextUnitType.SEC,Um beim Aufbauei,0,16,16,production,sentence_beginning
30,276477009873796017018607331320423296132,Um beim Aufbau,TextUnitType.SEC,ei,14,17,14,pre-contextual_deletion,sentence_middle
31,276477009873796017018607331320423296132,Um beim Aufbau eines Lebens in einem anderssprachigen l,TextUnitType.SEC, eines Lebens in einem anderssprachigen l,14,56,55,production,sentence_middle
32,276477009873796017018607331320423296132,Um beim Aufbau eines Lebens in einem anderssprachigen ,TextUnitType.SEC,l,54,56,54,pre-contextual_deletion,sentence_middle
33,276477009873796017018607331320423296132,"Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",TextUnitType.SEN,"Land Unterstützung zu bieten, muss man sich mit dem Lernenden seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",54,174,173,production,sentence_end
34,276477009873796017018607331320423296132,"Um beim Aufbau eines Lebens in einem anderssprachigen Land Unterstützung zu bieten, muss man sich mit dem Lernenden, seiner Herkunft und seinen Fähigkeiten auseinandersetzen.",TextUnitType.SEN,", ",115,117,174,contextual_insertion,sentence_middle
35,276477059787538401005140015253112007812,in die,TextUnitType.SEC,in die,0,6,6,production,sentence_beginning
37,276477078802297404428581037703660088452,In dies,TextUnitType.SEC,In dies,0,7,7,production,sentence_beginning
38,276477078802297404428581037703660088452,In die,TextUnitType.SEC,s,6,8,6,pre-contextual_deletion,sentence_middle
39,276477078802297404428581037703660088452,In diesem Konstrukt stellt die Sprachvermittlung einen essenziellen Aspekt dar.,TextUnitType.SEN,sem Konstrukt stellt die Sprachvermittlung einen essenziellen Aspekt dar.,6,80,79,production,sentence_end
39,276477098609338032994665436089647672452,Haupt,TextUnitType.SEC,Haupt,0,5,5,production,sentence_beginning
40,276477098609338032994665436089647672452,Haup,TextUnitType.SEC,t,4,6,4,pre-contextual_deletion,sentence_middle
41,276477098609338032994665436089647672452,Hauptsächlich ,TextUnitType.SEC,tsächlich ,4,15,14,production,sentence_middle
43,276477139015700915269477608797062343812,"Genauso wichtig ist es, wen ",TextUnitType.SEC,"Genauso wichtig ist es, wen ",0,28,28,production,sentence_beginning
44,276477139015700915269477608797062343812,"Genauso wichtig ist es, wen",TextUnitType.SEC, ,27,29,27,pre-contextual_deletion,sentence_middle
45,276477139015700915269477608797062343812,"Genauso wichtig ist es, wenn mn",TextUnitType.SEC,n mn,27,32,31,production,sentence_middle
46,276477139015700915269477608797062343812,"Genauso wichtig ist es, wenn m",TextUnitType.SEC,n,30,32,30,pre-contextual_deletion,sentence_middle
47,276477139015700915269477608797062343812,"Genauso wichtig ist es, wenn man versucht zu verstehen, wie jemand anderes etwas versteht.",TextUnitType.SEN,"an versucht zu verstehen, wie jemand anderes etwas versteht.",30,91,90,production,sentence_end
