tpsf_id,true_tt_class,true_senseg_pattern,pred_tt_class,pred_senseg_pattern
0,multi_sentence,FFF,multi_sentence,FFFF
1,in_sentence,B,in_sentence,M
2,in_sentence,B,in_sentence,M
3,in_sentence,B,in_sentence,B
4,in_sentence,M,in_sentence,M
5,in_sentence,M,in_sentence,M
6,in_sentence,M,in_sentence,M
7,in_sentence,E,in_sentence,E
8,in_sentence,M,in_sentence,M
9,in_sentence,M,in_sentence,M
10,in_sentence,B,in_sentence,B
11,in_sentence,M,in_sentence,M
12,in_sentence,M,in_sentence,M
13,in_sentence,M,in_sentence,M
14,in_sentence,M,in_sentence,M
15,in_sentence,M,in_sentence,M
16,cross_sentence,EB,cross_sentence,EB
17,in_sentence,M,in_sentence,M
18,in_sentence,M,in_sentence,M
19,in_sentence,M,in_sentence,M
20,in_sentence,E,in_sentence,E
21,in_sentence,M,in_sentence,M
22,in_sentence,M,in_sentence,M
23,in_sentence,B,in_sentence,M
24,in_sentence,M,in_sentence,M
25,in_sentence,E,in_sentence,E
26,in_sentence,M,in_sentence,M
27,in_sentence,M,in_sentence,M
28,in_sentence,M,in_sentence,M
29,in_sentence,B,in_sentence,B
30,in_sentence,M,in_sentence,M
31,in_sentence,M,in_sentence,M
32,in_sentence,M,in_sentence,M
33,in_sentence,E,in_sentence,E
34,in_sentence,M,in_sentence,M
35,in_sentence,B,in_sentence,M
36,in_sentence,B,in_sentence,B
37,in_sentence,B,in_sentence,B
38,in_sentence,M,in_sentence,M
39,cross_sentence,EB,cross_sentence,EB
40,in_sentence,M,in_sentence,M
41,in_sentence,M,in_sentence,M
42,in_sentence,B,in_sentence,B
43,in_sentence,B,in_sentence,B
44,in_sentence,M,in_sentence,M
45,in_sentence,M,in_sentence,M
46,in_sentence,M,in_sentence,M
47,in_sentence,E,in_sentence,E
48,in_sentence,M,in_sentence,M
49,in_sentence,M,in_sentence,M
50,in_sentence,M,in_sentence,M
51,in_sentence,B,in_sentence,M
52,in_sentence,M,in_sentence,M
53,in_sentence,M,in_sentence,M
54,in_sentence,M,in_sentence,M
55,in_sentence,M,in_sentence,M
56,in_sentence,M,in_sentence,M
57,in_sentence,M,in_sentence,M
58,cross_sentence,EB,cross_sentence,EB
59,in_sentence,M,in_sentence,M
60,in_sentence,M,in_sentence,M
61,in_sentence,M,in_sentence,M
62,in_sentence,M,in_sentence,M
63,cross_sentence,EB,cross_sentence,EB
64,in_sentence,M,in_sentence,M
65,in_sentence,E,in_sentence,E
66,in_sentence,M,in_sentence,M
67,in_sentence,B,in_sentence,M
68,in_sentence,M,in_sentence,M
69,in_sentence,M,in_sentence,M
70,in_sentence,M,in_sentence,M
71,in_sentence,M,in_sentence,M
72,in_sentence,M,in_sentence,M
73,in_sentence,M,in_sentence,M
74,in_sentence,M,in_sentence,M
75,in_sentence,M,in_sentence,M
76,cross_sentence,EB,cross_sentence,EB
77,in_sentence,M,in_sentence,M
78,in_sentence,E,in_sentence,E
79,in_sentence,M,in_sentence,M
80,in_sentence,M,in_sentence,M
81,in_sentence,B,in_sentence,M
82,in_sentence,M,in_sentence,M
83,multi_sentence,EFB,multi_sentence,EFB
84,in_sentence,M,in_sentence,M
85,multi_sentence,EFF,multi_sentence,EFFB
86,in_sentence,B,in_sentence,B
87,cross_sentence,FB,cross_sentence,FB
88,in_sentence,M,in_sentence,M
89,in_sentence,M,in_sentence,M
90,in_sentence,M,in_sentence,M
91,cross_sentence,EB,cross_sentence,EB
92,in_sentence,M,in_sentence,M
93,in_sentence,M,in_sentence,M
94,in_sentence,M,in_sentence,M
95,in_sentence,M,in_sentence,M
96,in_sentence,M,in_sentence,M
97,multi_sentence,EFF,multi_sentence,EFF
98,in_sentence,M,in_sentence,M
99,in_sentence,M,in_sentence,M
